TimeStamp,X,Y,Z
19780,-0.34,0.0,10.25
19782,-0.3,0.02,10.27
19784,-0.31,0.0,10.29
19786,-0.31,0.0,10.18
19788,-0.26,0.02,10.29
19790,-0.32,0.0,10.05
19792,-0.31,-0.06,10.13
19794,-0.24,0.0,10.11
19796,-0.33,0.0,10.04
19798,-0.28,-0.01,10.11
19800,-0.38,-0.01,10.07
19802,-0.28,-0.05,10.09
19804,-0.33,-0.02,10.11
19806,-0.4,-0.01,9.94
19808,-0.28,0.02,10.22
19810,-0.34,0.03,10.09
19812,-0.28,0.0,10.19
19814,-0.3,0.04,10.11
19816,-0.32,0.03,10.27
19818,-0.29,0.02,10.25
19820,-0.34,0.0,10.18
19822,-0.25,-0.01,10.32
19824,-0.33,0.03,10.09
19826,-0.28,0.0,10.3
19828,-0.28,-0.05,10.2
19830,-0.34,-0.03,10.12
19832,-0.27,0.02,10.37
19834,-0.4,-0.03,10.14
19836,-0.3,-0.01,10.19
19838,-0.29,-0.03,10.08
19840,-0.34,0.0,10.23
19842,-0.3,-0.01,10.07
19844,-0.36,-0.01,9.98
19846,-0.31,-0.01,10.06
19848,-0.35,0.0,10.07
19850,-0.27,0.07,10.12
19852,-0.29,-0.05,10.12
19854,-0.34,0.0,10.11
19856,-0.32,0.02,10.3
19858,-0.28,0.03,10.27
19860,-0.36,0.03,10.1
19862,-0.28,0.02,10.17
19864,-0.35,0.02,10.21
19866,-0.34,0.06,10.33
19868,-0.28,-0.04,10.21
19870,-0.25,0.03,10.29
19872,-0.38,0.04,10.3
19874,-0.34,-0.02,10.16
19876,-0.25,0.01,10.31
19878,-0.36,0.0,10.07
19880,-0.31,0.01,10.16
19882,-0.33,0.03,10.15
19884,-0.27,0.06,10.15
19886,-0.29,-0.02,10.14
19888,-0.34,-0.02,10.0
19890,-0.27,-0.03,10.09
19892,-0.31,-0.04,9.96
19894,-0.33,-0.03,9.99
19896,-0.23,0.02,10.1
19898,-0.34,-0.01,10.13
19900,-0.33,-0.04,10.19
19902,-0.34,-0.02,10.11
19904,-0.28,0.02,10.2
19906,-0.34,0.01,10.23
19908,-0.4,-0.03,10.14
19910,-0.32,0.0,10.24
19912,-0.4,0.03,10.1
19914,-0.3,0.03,10.33
19916,-0.34,-0.02,10.23
19918,-0.3,-0.01,10.19
19920,-0.27,-0.01,10.22
19922,-0.38,0.0,10.15
19924,-0.28,0.0,10.28
19926,-0.3,0.04,10.11
19928,-0.3,-0.04,10.17
19930,-0.3,0.0,10.11
19932,-0.35,0.0,10.12
19934,-0.23,-0.02,10.2
19936,-0.31,-0.05,9.98
19938,-0.28,-0.01,10.17
19940,-0.32,-0.03,9.94
19942,-0.29,0.0,10.04
19944,-0.28,0.01,10.02
19946,-0.35,0.0,10.1
