TimeStamp,X,Y,Z
56257,0.02,0.42,9.99
56259,0.25,-0.21,10.06
56261,0.33,0.13,9.99
56263,-0.18,0.14,10.19
56265,0.85,0.02,10.02
56267,-0.29,-0.07,10.13
56269,1.26,-0.25,10.08
56271,-0.96,0.46,9.82
56273,0.52,-0.14,10.0
56275,-0.35,0.25,9.71
56277,-0.07,-0.09,9.96
56279,0.84,0.1,10.11
56281,-0.7,0.39,9.95
56283,1.21,-0.42,10.2
56285,-0.86,0.42,9.64
56287,0.68,0.09,9.99
56289,-0.36,0.29,9.8
56291,0.04,-0.0,9.96
56293,0.34,0.0,10.11
56295,-0.15,0.09,9.95
56297,0.52,-0.06,10.24
56299,-0.1,-0.1,10.01
56301,0.54,-0.17,10.09
56303,-0.08,-0.14,10.16
56305,0.4,0.06,9.94
56307,0.05,-0.34,10.06
56309,0.32,0.0,9.87
56311,0.06,-0.12,10.1
56313,0.09,0.12,9.87
56315,0.14,0.11,10.09
56317,0.09,-0.15,9.89
56319,0.1,0.19,9.83
56321,-0.13,-0.26,9.81
56323,0.33,0.18,9.88
56325,-0.19,-0.31,9.94
56327,-0.01,0.28,10.05
56329,-0.27,0.26,10.17
56331,0.36,-0.32,9.95
56333,0.5,0.01,9.92
56335,-0.24,0.1,10.01
56337,0.03,-0.07,10.15
56339,0.01,0.17,9.94
56341,0.27,-0.22,9.89
56343,-0.07,0.3,10.18
56345,-0.47,0.16,10.07
56347,0.34,-0.22,9.91
56349,0.32,0.18,10.01
56351,0.05,0.23,10.0
56353,-0.54,-0.28,10.06
56355,0.31,0.51,9.98
56357,0.54,-0.12,9.78
56359,-0.5,-0.02,9.94
56361,0.31,0.12,10.15
56363,-0.07,0.41,9.75
56365,-0.19,-0.49,9.94
56367,0.56,0.39,9.79
56369,-0.37,0.11,9.99
56371,0.48,-0.13,10.06
56373,-0.23,-0.04,9.94
56375,0.52,0.25,9.94
56377,-0.19,-0.14,10.11
56379,0.22,0.07,9.91
56381,0.17,-0.18,10.12
56383,0.23,0.29,9.87
56385,-0.0,-0.08,10.28
56387,0.38,0.02,10.01
56389,0.14,0.05,10.15
56391,0.0,0.06,10.06
56393,0.04,0.0,9.98
56395,0.06,0.26,10.05
56397,0.11,-0.15,9.94
56399,0.38,0.09,10.06
56401,-0.27,0.4,10.02
56403,0.08,-0.21,9.85
56405,0.18,-0.02,9.91
56407,-0.09,0.35,9.92
56409,-0.05,-0.12,9.92
56411,0.0,0.01,9.95
56413,0.06,0.23,9.88
56415,0.32,-0.05,9.98
56417,-0.11,0.16,9.86
56419,0.02,0.06,10.06
56421,0.14,0.1,9.84
56423,-0.1,0.09,9.96
56425,0.52,-0.03,10.06
56427,0.1,0.11,10.0
56429,-0.01,-0.15,10.12
56431,0.28,0.2,10.03
56433,0.03,0.07,10.07
56435,0.54,-0.14,10.21
56437,0.02,0.24,10.0
56439,0.25,0.0,10.09
56441,0.04,-0.07,10.02
56443,-0.06,0.2,10.03
56445,0.28,0.12,10.03
56447,-0.13,-0.0,9.98
56449,-0.02,0.22,9.91
56451,0.0,0.09,9.97
56453,0.01,-0.01,9.83
56455,-0.04,0.0,9.99
56457,-0.13,0.13,9.81
56459,-0.08,0.15,9.88
56461,-0.09,-0.17,9.88
56463,0.01,0.16,9.86
56465,0.06,0.11,10.01
56467,0.03,-0.07,10.1
56469,0.01,0.5,10.01
56471,0.1,-0.11,9.89
56473,0.44,-0.07,10.04
56475,0.03,0.03,10.19
56477,-0.1,0.31,10.07
56479,0.2,-0.11,10.23
56481,0.43,-0.15,10.1
56483,0.13,-0.05,10.05
56485,-0.07,0.1,10.01
56487,0.15,0.1,10.03
56489,0.35,-0.02,10.05
56491,0.03,-0.02,10.1
56493,-0.11,0.22,10.14
56495,0.0,-0.02,9.86
56497,0.25,-0.06,9.85
56499,-0.31,-0.09,9.81
56501,0.12,0.16,10.05
56503,0.05,0.26,9.97
56505,0.03,-0.23,9.71
56507,-0.0,-0.24,9.96
56509,-0.17,0.37,9.83
56511,-0.16,-0.07,10.01
56513,0.32,0.06,9.9
56515,0.12,-0.02,10.0
56517,-0.17,-0.0,9.98
56519,-0.0,0.05,10.12
56521,0.27,0.16,9.96
56523,0.39,-0.37,10.19
56525,-0.29,0.08,10.04
56527,0.14,0.18,10.11
56529,0.36,0.04,10.08
56531,0.15,-0.11,10.18
56533,0.12,0.0,10.07
56535,-0.13,0.23,10.14
56537,0.73,-0.03,10.06
56539,-0.53,-0.06,9.85
56541,0.36,-0.19,10.07
56543,0.4,0.37,9.85
56545,-0.57,0.18,9.91
56547,0.4,-0.36,10.04
56549,0.21,0.32,9.73
56551,-0.21,0.21,9.87
56553,-0.08,-0.25,9.95
56555,0.26,0.31,9.98
56557,0.07,-0.13,9.87
56559,-0.01,-0.15,10.07
56561,-0.04,0.53,10.3
56563,-0.05,-0.04,9.9
56565,0.52,-0.35,10.01
56567,0.27,0.41,9.95
56569,-0.33,-0.1,10.19
56571,0.08,0.23,10.42
56573,0.1,0.05,9.98
56575,0.29,0.24,9.99
56577,-0.19,-0.23,10.15
56579,-0.09,0.34,9.82
56581,0.18,-0.21,10.16
56583,-0.04,-0.04,9.83
56585,-0.03,0.14,10.25
56587,-0.31,0.01,9.96
56589,0.35,0.04,9.94
56591,0.14,-0.14,9.91
56593,0.28,0.02,9.78
56595,-0.51,0.07,9.92
56597,0.61,-0.06,9.73
56599,-0.23,-0.17,9.96
56601,0.68,-0.09,9.97
56603,-0.54,0.05,10.03
56605,0.87,-0.08,10.07
