TimeStamp,X,Y,Z
78959,-0.09,-0.13,10.08
78961,0.03,-0.06,10.14
78963,0.24,-0.01,10.0
78965,0.19,-0.02,9.99
78967,0.01,-0.11,10.01
78969,0.08,-0.12,10.15
78971,0.21,-0.01,9.96
78973,0.23,-0.08,10.08
78975,-0.02,-0.14,9.96
78977,0.08,-0.17,10.19
78979,0.28,0.06,10.04
78981,0.29,-0.04,10.16
78983,0.12,-0.15,10.07
78985,0.22,-0.14,10.26
78987,0.22,0.03,10.11
78989,0.29,-0.06,10.16
78991,-0.02,-0.14,10.18
78993,0.08,-0.09,10.1
78995,0.27,0.0,10.07
78997,0.17,0.07,10.1
78999,0.09,-0.05,10.11
79001,0.08,-0.08,10.28
79003,0.19,0.07,9.93
79005,0.12,0.07,10.02
79007,-0.06,-0.01,10.09
79009,-0.0,0.09,10.07
79011,0.11,0.15,9.98
79013,0.15,0.09,9.93
79015,0.04,-0.02,10.09
79017,0.05,0.0,10.16
79019,0.28,0.1,10.05
79021,0.09,0.06,10.08
79023,-0.06,0.05,10.0
79025,0.04,0.11,10.19
79027,0.29,0.18,10.02
79029,0.15,0.17,10.09
79031,0.07,0.03,10.09
79033,0.06,0.35,10.24
79035,0.18,-0.02,10.08
79037,0.43,0.38,10.06
79039,-0.13,-0.28,10.02
79041,0.07,0.42,10.17
79043,0.16,0.13,10.11
79045,0.13,0.06,9.96
79047,0.35,0.08,10.21
79049,-0.21,0.32,10.08
79051,0.6,0.0,10.09
79053,-0.15,0.17,9.84
79055,0.43,0.18,10.25
79057,0.04,0.24,10.23
79059,-0.16,0.01,9.94
79061,0.4,0.2,10.03
79063,0.08,0.02,10.15
79065,0.11,0.23,10.03
79067,0.14,0.06,10.02
79069,0.39,0.09,10.13
79071,-0.18,-0.01,10.24
79073,0.09,-0.12,10.1
79075,0.48,0.22,10.04
79077,-0.1,0.01,10.05
79079,0.34,0.27,10.09
79081,-0.26,0.06,10.18
79083,0.36,0.01,10.02
79085,0.51,-0.02,10.16
