TimeStamp,X,Y,Z
119267,-0.45,-0.06,10.01
119269,-0.39,-0.13,9.84
119271,-0.39,-0.12,9.91
119273,-0.35,-0.13,10.03
119275,-0.37,-0.09,9.82
119277,-0.37,-0.19,10.1
119279,-0.4,-0.13,9.84
119281,-0.38,-0.07,9.89
119283,-0.34,-0.14,9.87
119285,-0.4,-0.1,9.71
119287,-0.4,-0.11,10.03
119289,-0.44,-0.14,9.69
119291,-0.41,-0.11,10.0
119293,-0.33,-0.11,9.98
119295,-0.39,-0.1,9.83
119297,-0.41,-0.11,10.13
119299,-0.39,-0.12,9.97
119301,-0.41,-0.1,10.02
119303,-0.38,-0.11,10.01
119305,-0.41,-0.04,9.96
119307,-0.41,-0.14,10.08
119309,-0.44,-0.09,9.89
119311,-0.46,-0.05,10.13
119313,-0.4,-0.06,9.94
119315,-0.44,-0.14,9.96
119317,-0.45,-0.07,9.93
119319,-0.43,-0.12,9.8
119321,-0.45,-0.12,9.88
119323,-0.4,-0.14,9.78
119325,-0.43,-0.11,9.9
119327,-0.47,-0.19,9.9
119329,-0.42,-0.16,9.86
119331,-0.4,-0.18,9.88
119333,-0.32,-0.14,9.85
119335,-0.37,-0.14,9.9
119337,-0.4,-0.17,9.88
119339,-0.37,-0.13,9.84
119341,-0.42,-0.14,10.0
119343,-0.41,-0.17,9.84
119345,-0.41,-0.07,9.95
119347,-0.45,-0.09,9.82
119349,-0.44,-0.09,9.95
119351,-0.41,-0.08,10.1
119353,-0.46,-0.03,9.86
119355,-0.44,-0.09,10.06
119357,-0.41,-0.11,9.89
119359,-0.42,-0.11,9.94
119361,-0.38,-0.14,9.99
119363,-0.46,-0.11,9.85
119365,-0.41,-0.16,10.04
119367,-0.35,-0.09,9.68
119369,-0.36,-0.11,9.86
119371,-0.4,-0.1,9.97
119373,-0.46,-0.03,9.81
119375,-0.36,-0.1,10.03
119377,-0.41,-0.12,9.83
119379,-0.46,-0.16,9.91
119381,-0.39,-0.07,9.87
119383,-0.35,-0.1,9.83
119385,-0.44,-0.11,9.99
119387,-0.36,-0.1,9.88
119389,-0.38,-0.11,10.04
119391,-0.46,-0.2,10.0
119393,-0.36,-0.09,10.0
119395,-0.4,-0.11,10.01
119397,-0.5,-0.14,9.87
119399,-0.39,-0.09,10.06
119401,-0.45,-0.13,9.99
119403,-0.47,-0.1,9.98
119405,-0.43,-0.16,10.04
119407,-0.45,-0.05,9.83
119409,-0.44,-0.09,9.99
119411,-0.39,-0.11,9.85
119413,-0.44,-0.09,10.01
119415,-0.45,-0.14,9.83
119417,-0.43,-0.21,9.74
119419,-0.38,-0.13,9.92
119421,-0.38,-0.09,9.76
119423,-0.45,-0.13,9.99
119425,-0.39,-0.19,9.89
119427,-0.36,-0.16,9.79
119429,-0.47,-0.13,10.11
119431,-0.44,-0.12,9.8
119433,-0.45,-0.13,9.99
119435,-0.39,-0.16,9.93
119437,-0.42,-0.08,9.93
119439,-0.41,-0.1,10.06
119441,-0.4,-0.13,9.8
119443,-0.43,-0.17,10.16
119445,-0.42,-0.1,9.91
119447,-0.35,-0.06,10.03
119449,-0.43,-0.06,9.97
119451,-0.45,-0.07,9.93
119453,-0.37,-0.04,10.1
119455,-0.39,-0.17,9.86
119457,-0.35,-0.12,9.87
119459,-0.42,-0.12,9.89
119461,-0.44,-0.07,9.92
119463,-0.49,-0.07,9.98
119465,-0.41,-0.1,9.79
119467,-0.4,-0.08,9.95
119469,-0.44,-0.1,9.86
119471,-0.39,-0.14,9.82
119473,-0.41,-0.08,9.9
119475,-0.41,-0.14,9.9
119477,-0.4,-0.09,9.91
119479,-0.4,-0.07,9.87
119481,-0.41,-0.14,9.83
119483,-0.38,-0.1,10.13
119485,-0.42,-0.14,9.94
119487,-0.4,-0.09,10.07
119489,-0.44,-0.13,10.07
119491,-0.4,-0.1,9.85
119493,-0.45,-0.06,10.06
119495,-0.39,-0.14,9.85
119497,-0.4,-0.09,9.94
119499,-0.42,-0.1,10.04
119501,-0.37,-0.11,9.86
119503,-0.34,-0.08,9.94
119505,-0.42,-0.09,9.83
119507,-0.4,-0.12,9.99
119509,-0.42,-0.1,9.97
119511,-0.44,-0.07,9.75
119513,-0.4,-0.11,9.94
119515,-0.44,-0.13,9.78
119517,-0.41,-0.17,9.93
119519,-0.43,-0.13,9.84
119521,-0.47,-0.08,9.91
119523,-0.38,-0.12,9.94
119525,-0.4,-0.12,9.8
119527,-0.44,-0.12,10.0
119529,-0.4,-0.15,9.99
119531,-0.43,-0.1,9.99
119533,-0.43,-0.11,10.03
119535,-0.46,-0.09,9.9
119537,-0.33,-0.11,10.07
119539,-0.42,-0.09,9.92
119541,-0.43,-0.07,10.09
119543,-0.38,-0.1,10.05
119545,-0.49,-0.06,9.89
119547,-0.43,-0.16,9.96
119549,-0.33,-0.09,9.87
119551,-0.42,-0.1,9.96
119553,-0.45,-0.08,9.84
119555,-0.42,-0.12,9.87
119557,-0.4,-0.08,9.97
119559,-0.41,-0.08,9.8
119561,-0.4,-0.13,9.95
119563,-0.45,-0.08,9.88
119565,-0.37,-0.11,9.91
119567,-0.39,-0.13,9.92
119569,-0.35,-0.12,9.82
119571,-0.4,-0.14,10.01
119573,-0.34,-0.08,9.96
119575,-0.4,-0.09,10.02
119577,-0.42,-0.1,10.01
119579,-0.41,-0.12,9.83
119581,-0.41,-0.1,10.01
119583,-0.4,-0.04,9.89
119585,-0.44,-0.07,10.07
119587,-0.41,-0.09,9.96
119589,-0.43,-0.08,9.95
119591,-0.41,-0.12,10.07
119593,-0.42,-0.1,9.83
119595,-0.45,-0.16,9.96
119597,-0.38,-0.13,9.92
119599,-0.48,-0.15,9.8
119601,-0.45,-0.11,9.95
119603,-0.43,-0.13,9.68
119605,-0.4,-0.14,9.95
119607,-0.34,-0.1,9.8
119609,-0.37,-0.09,9.85
119611,-0.41,-0.18,10.05
119613,-0.38,-0.13,9.85
119615,-0.42,-0.14,9.99
119617,-0.43,-0.12,9.91
119619,-0.37,-0.16,9.96
119621,-0.4,-0.12,9.95
119623,-0.4,-0.11,9.9
119625,-0.4,-0.12,10.09
119627,-0.44,-0.11,9.92
119629,-0.41,-0.07,10.0
119631,-0.46,-0.12,9.98
119633,-0.45,-0.09,10.01
119635,-0.42,-0.06,10.01
119637,-0.39,-0.09,9.84
119639,-0.43,-0.11,10.03
119641,-0.44,-0.11,9.92
119643,-0.38,-0.14,9.93
119645,-0.36,-0.09,9.96
119647,-0.42,-0.12,9.78
119649,-0.43,-0.1,9.97
119651,-0.37,-0.07,9.76
119653,-0.44,-0.1,9.91
119655,-0.44,-0.15,9.98
119657,-0.4,-0.11,9.78
119659,-0.42,-0.14,10.08
119661,-0.44,-0.13,9.92
119663,-0.38,-0.13,10.02
119665,-0.43,-0.14,9.94
119667,-0.41,-0.04,9.91
119669,-0.39,-0.11,10.06
119671,-0.42,-0.14,9.89
119673,-0.46,-0.04,9.95
119675,-0.37,-0.15,9.98
119677,-0.41,-0.1,9.96
119679,-0.43,-0.12,10.06
119681,-0.42,-0.08,9.84
119683,-0.4,-0.14,10.04
119685,-0.44,-0.09,9.96
119687,-0.36,-0.07,9.95
119689,-0.47,-0.13,9.9
119691,-0.42,-0.14,9.77
119693,-0.43,-0.13,10.01
119695,-0.39,-0.07,9.88
119697,-0.45,-0.12,9.88
119699,-0.33,-0.15,9.91
119701,-0.38,-0.13,9.76
119703,-0.38,-0.13,9.92
119705,-0.41,-0.11,9.81
119707,-0.43,-0.11,9.97
119709,-0.4,-0.13,9.91
119711,-0.4,-0.07,9.86
119713,-0.44,-0.12,10.13
119715,-0.34,-0.09,9.88
119717,-0.43,-0.02,9.99
119719,-0.48,-0.14,9.92
119721,-0.39,-0.1,9.91
119723,-0.35,-0.08,9.98
119725,-0.36,-0.09,9.79
119727,-0.41,-0.09,10.07
119729,-0.44,-0.14,9.98
119731,-0.45,-0.07,9.97
119733,-0.36,-0.16,10.01
119735,-0.41,-0.13,9.81
119737,-0.39,-0.09,10.01
119739,-0.46,-0.08,9.86
119741,-0.38,-0.13,9.78
119743,-0.43,-0.08,9.95
119745,-0.43,-0.07,9.77
119747,-0.39,-0.1,9.96
119749,-0.4,-0.17,9.85
119751,-0.38,-0.15,10.01
119753,-0.4,-0.18,9.91
119755,-0.43,-0.17,9.83
119757,-0.36,-0.11,10.11
119759,-0.45,-0.11,9.91
119761,-0.42,-0.12,10.01
119763,-0.34,-0.11,10.07
119765,-0.39,-0.11,9.99
119767,-0.44,-0.13,10.07
119769,-0.44,-0.05,9.89
119771,-0.41,-0.1,10.07
119773,-0.43,-0.09,9.95
119775,-0.34,-0.02,9.92
119777,-0.5,-0.1,9.97
119779,-0.45,-0.08,9.78
119781,-0.42,-0.11,9.94
119783,-0.32,-0.15,9.91
119785,-0.42,-0.13,9.92
119787,-0.46,-0.14,9.88
119789,-0.4,-0.05,9.83
119791,-0.38,-0.15,9.9
119793,-0.38,-0.11,9.79
119795,-0.42,-0.09,10.01
119797,-0.42,-0.15,9.83
119799,-0.43,-0.06,9.77
119801,-0.42,-0.09,10.0
119803,-0.51,-0.1,9.8
119805,-0.37,-0.05,10.05
119807,-0.37,-0.05,9.97
119809,-0.42,-0.03,9.9
119811,-0.33,-0.1,10.07
119813,-0.38,-0.05,9.93
119815,-0.4,-0.07,9.95
119817,-0.43,-0.15,9.9
119819,-0.42,-0.09,9.99
119821,-0.4,-0.11,10.05
119823,-0.45,-0.14,9.72
119825,-0.42,-0.11,9.96
119827,-0.38,-0.11,9.84
119829,-0.43,-0.11,9.95
119831,-0.44,-0.13,9.95
119833,-0.43,-0.07,9.77
119835,-0.45,-0.14,9.98
119837,-0.5,-0.12,9.86
119839,-0.42,-0.06,9.97
119841,-0.35,-0.12,9.92
119843,-0.46,-0.1,9.85
119845,-0.36,-0.1,9.97
119847,-0.46,-0.05,9.96
119849,-0.43,-0.17,10.12
119851,-0.4,-0.15,9.94
119853,-0.4,-0.11,9.9
119855,-0.38,-0.17,10.02
119857,-0.41,-0.09,9.89
119859,-0.41,-0.12,10.12
119861,-0.45,-0.16,9.98
119863,-0.44,-0.05,9.94
119865,-0.4,-0.16,10.08
119867,-0.41,-0.07,9.81
119869,-0.43,-0.06,9.99
119871,-0.42,-0.14,9.86
119873,-0.41,-0.09,9.9
119875,-0.4,-0.11,9.86
119877,-0.4,-0.08,9.84
119879,-0.41,-0.07,9.97
119881,-0.41,-0.07,9.76
119883,-0.37,-0.1,9.9
119885,-0.39,-0.11,9.88
119887,-0.4,-0.05,9.81
119889,-0.42,-0.11,9.99
119891,-0.39,-0.05,9.88
119893,-0.36,-0.1,9.98
119895,-0.41,-0.08,9.89
119897,-0.38,-0.07,9.99
119899,-0.35,-0.06,10.05
119901,-0.45,-0.09,9.93
