TimeStamp,X,Y,Z
11705,0.31,0.18,10.23
11707,0.12,0.3,10.03
11709,-0.07,0.04,10.18
11711,0.48,-0.08,10.18
11713,-0.05,0.05,9.92
11715,0.39,-0.12,10.21
11717,-0.02,0.14,10.14
11719,0.03,0.31,10.03
11721,0.45,-0.03,10.06
11723,-0.36,0.16,10.09
11725,0.35,-0.06,10.09
11727,0.36,-0.06,9.96
11729,-0.2,0.17,10.01
11731,0.29,0.14,10.14
11733,-0.11,0.3,9.97
11735,0.25,0.02,10.13
11737,0.07,-0.05,10.17
11739,-0.03,0.1,10.02
11741,0.6,-0.16,10.21
11743,-0.19,0.21,9.95
11745,0.24,0.24,10.19
11747,0.3,0.17,10.11
11749,-0.12,0.15,10.09
11751,0.48,-0.1,10.22
11753,0.1,0.07,10.05
11755,0.19,0.06,10.21
11757,0.14,0.07,10.06
11759,-0.12,0.33,10.01
11761,0.42,-0.06,10.18
11763,-0.27,0.11,10.04
11765,0.27,-0.0,10.15
11767,0.57,-0.06,10.09
11769,-0.3,0.2,9.96
11771,0.37,0.13,10.2
11773,0.06,0.38,9.85
11775,0.1,0.05,10.05
11777,0.35,-0.02,10.13
11779,-0.11,0.07,9.94
11781,0.5,-0.12,10.13
11783,-0.21,0.17,10.04
11785,0.08,0.27,10.06
11787,0.37,0.12,10.16
11789,-0.17,0.2,10.03
11791,0.54,-0.07,10.17
11793,0.21,-0.03,10.09
11795,0.02,0.08,10.21
11797,0.36,0.06,10.16
11799,-0.14,0.37,9.93
11801,0.38,0.0,10.22
11803,-0.01,0.04,10.14
11805,0.11,0.01,10.04
11807,0.64,-0.19,10.08
11809,-0.2,0.19,10.01
11811,0.21,0.14,10.12
11813,0.15,0.33,9.95
11815,-0.1,0.06,10.01
11817,0.47,-0.1,10.11
11819,-0.07,0.15,9.93
11821,0.27,-0.12,10.12
11823,0.08,0.14,10.07
11825,-0.03,0.27,9.94
11827,0.47,0.0,10.06
11829,-0.34,0.12,10.04
11831,0.38,-0.06,10.13
11833,0.48,-0.04,10.04
11835,-0.15,0.12,10.06
11837,0.37,0.07,10.19
11839,-0.09,0.35,10.0
11841,0.33,0.03,10.18
11843,0.2,-0.07,10.19
11845,-0.11,0.05,10.13
11847,0.63,-0.23,10.24
11849,-0.13,0.21,10.05
11851,0.22,0.18,10.15
11853,0.26,0.22,10.11
11855,-0.16,0.2,10.09
11857,0.52,-0.08,10.3
11859,0.05,0.12,9.91
11861,0.05,0.01,10.08
11863,0.15,0.08,10.08
11865,-0.17,0.37,9.83
11867,0.41,-0.03,10.02
11869,-0.19,0.11,9.99
11871,0.22,0.0,10.07
11873,0.61,-0.14,10.1
11875,-0.25,0.18,10.03
11877,0.36,0.15,10.27
11879,0.18,0.31,9.91
11881,0.12,0.04,10.09
11883,0.4,-0.13,10.27
11885,-0.06,0.08,10.12
11887,0.43,-0.19,10.31
11889,0.0,0.13,10.09
11891,-0.01,0.26,10.14
11893,0.45,0.04,10.18
11895,-0.24,0.16,10.02
11897,0.48,-0.14,10.21
11899,0.29,0.05,9.97
11901,-0.1,0.08,10.05
11903,0.25,0.14,10.03
11905,-0.08,0.44,9.91
11907,0.28,-0.02,10.15
11909,-0.03,0.03,10.12
11911,0.02,0.0,10.04
11913,0.56,-0.1,10.0
11915,-0.16,0.19,10.01
11917,0.15,0.25,10.03
11919,0.24,0.25,10.01
11921,-0.01,0.19,10.01
11923,0.46,-0.13,10.22
11925,0.09,0.06,9.89
11927,0.12,-0.03,10.13
11929,0.17,0.15,10.14
11931,-0.01,0.36,10.1
11933,0.45,0.0,10.24
11935,-0.14,0.06,10.15
11937,0.26,-0.1,10.2
11939,0.52,-0.06,10.01
11941,-0.22,0.16,10.13
11943,0.25,0.14,10.17
11945,-0.06,0.37,10.02
11947,0.18,0.0,10.09
11949,0.27,-0.07,10.06
11951,-0.06,0.02,9.99
11953,0.38,-0.1,10.25
11955,-0.06,0.19,9.94
11957,0.09,0.28,10.05
11959,0.35,0.2,10.04
11961,-0.18,0.14,10.06
11963,0.45,-0.09,10.15
11965,0.27,0.01,10.04
11967,-0.07,0.01,10.05
11969,0.25,0.05,10.2
11971,-0.06,0.31,9.99
11973,0.38,-0.03,10.24
11975,-0.09,0.04,10.11
11977,0.04,-0.05,10.24
11979,0.63,-0.08,10.14
11981,-0.15,0.12,9.97
11983,0.3,0.15,10.12
11985,0.13,0.35,9.97
11987,-0.02,0.11,10.13
11989,0.42,-0.09,10.2
11991,0.0,0.07,9.98
11993,0.24,-0.03,10.14
11995,0.02,0.13,10.13
11997,-0.04,0.31,9.96
11999,0.41,0.09,10.1
12001,-0.25,0.2,9.93
12003,0.31,-0.13,10.16
12005,0.39,-0.0,9.95
12007,-0.06,0.13,10.01
12009,0.29,0.15,10.19
12011,-0.07,0.37,10.01
12013,0.3,-0.09,10.11
12015,0.14,0.03,10.2
12017,0.03,0.04,10.13
12019,0.57,-0.08,10.25
