TimeStamp,X,Y,Z
31980,-0.23,0.01,9.9
31982,-0.24,-0.07,9.87
31984,-0.23,-0.05,9.8
31986,-0.24,-0.11,9.93
31988,-0.2,-0.1,9.95
31990,-0.24,-0.06,9.87
31992,-0.23,-0.04,9.91
31994,-0.19,-0.12,9.98
31996,-0.27,-0.16,10.04
31998,-0.26,-0.08,9.83
32000,-0.2,-0.13,10.1
32002,-0.31,-0.11,10.04
32004,-0.19,-0.13,9.97
32006,-0.28,-0.14,10.07
32008,-0.3,-0.05,9.95
32010,-0.17,-0.09,10.13
32012,-0.21,-0.06,9.98
32014,-0.21,-0.1,9.89
32016,-0.27,-0.12,10.1
32018,-0.28,-0.08,9.85
32020,-0.27,-0.07,9.99
32022,-0.26,-0.05,10.06
32024,-0.23,-0.09,9.9
32026,-0.27,-0.14,9.93
32028,-0.26,-0.06,9.67
32030,-0.18,-0.05,9.85
32032,-0.26,-0.15,9.99
32034,-0.24,-0.06,9.87
32036,-0.29,-0.06,9.92
32038,-0.27,-0.09,9.9
32040,-0.18,-0.03,10.03
32042,-0.21,-0.09,9.98
32044,-0.21,-0.09,10.04
32046,-0.15,-0.07,9.98
32048,-0.22,-0.05,9.95
32050,-0.15,-0.07,10.12
32052,-0.23,-0.11,9.99
32054,-0.23,-0.11,10.07
32056,-0.25,0.0,10.07
32058,-0.26,-0.08,9.9
32060,-0.24,-0.05,10.05
32062,-0.26,-0.04,9.98
32064,-0.2,-0.07,9.89
32066,-0.2,-0.03,10.05
32068,-0.22,-0.03,9.91
32070,-0.19,-0.07,9.97
32072,-0.22,-0.08,9.95
32074,-0.24,-0.12,9.88
32076,-0.23,-0.08,9.94
32078,-0.22,-0.04,9.9
32080,-0.26,-0.1,9.99
32082,-0.24,-0.08,10.0
32084,-0.23,-0.09,9.86
32086,-0.28,-0.04,9.9
32088,-0.19,-0.07,9.96
32090,-0.21,-0.02,10.06
32092,-0.27,-0.09,9.97
32094,-0.25,-0.08,10.09
32096,-0.26,-0.09,9.99
32098,-0.24,-0.11,10.04
32100,-0.18,-0.03,9.99
32102,-0.28,-0.07,9.91
32104,-0.28,-0.09,10.03
32106,-0.18,-0.06,10.02
32108,-0.22,-0.09,10.04
32110,-0.26,-0.11,9.99
32112,-0.18,-0.06,9.91
32114,-0.23,-0.13,9.97
32116,-0.26,-0.12,10.0
32118,-0.2,-0.04,9.88
32120,-0.28,-0.11,9.97
32122,-0.23,-0.1,9.9
32124,-0.2,-0.08,9.92
32126,-0.3,-0.06,9.93
32128,-0.25,-0.1,9.96
32130,-0.23,-0.03,9.94
32132,-0.22,-0.07,9.97
32134,-0.26,-0.09,10.0
32136,-0.21,-0.09,10.0
32138,-0.24,-0.11,10.03
32140,-0.22,-0.06,10.01
32142,-0.22,-0.11,9.97
32144,-0.26,-0.07,10.04
32146,-0.22,-0.01,9.95
