TimeStamp,X,Y,Z
17300,-0.33,-0.06,9.84
17302,0.12,-0.03,10.02
17304,-0.38,0.39,9.97
17306,-0.22,0.14,10.13
17308,0.39,0.06,10.04
17310,0.06,0.1,9.97
17312,0.1,-0.06,10.23
17314,-0.17,0.05,9.91
17316,-0.17,-0.03,9.95
17318,-0.12,0.28,10.03
17320,-0.32,0.02,10.07
17322,0.31,-0.14,10.19
17324,0.07,0.13,10.09
17326,-0.21,-0.13,10.07
17328,0.02,0.1,9.94
17330,-0.51,0.3,9.88
17332,-0.14,0.2,9.95
17334,-0.01,0.11,10.0
17336,-0.13,-0.04,9.97
17338,0.09,0.02,10.13
17340,-0.43,-0.01,9.86
17342,-0.09,-0.06,9.94
17344,-0.37,0.32,9.83
17346,-0.35,0.05,10.08
17348,0.42,-0.11,10.07
17366,-0.24,-0.11,10.04
17368,0.09,-0.04,10.05
17370,-0.4,0.31,9.9
17372,-0.21,0.15,10.07
17374,0.17,0.01,9.95
17376,-0.09,0.06,10.01
17378,0.01,0.02,9.98
17380,-0.37,0.11,9.81
17382,-0.15,-0.08,9.9
17384,-0.22,0.31,9.89
17386,-0.44,0.05,10.05
17388,0.28,-0.11,10.07
17390,-0.06,0.17,9.94
17392,-0.07,-0.04,10.04
17394,-0.03,0.06,9.95
17396,-0.4,0.21,9.86
17398,-0.01,0.24,10.08
17400,-0.05,0.07,10.03
17402,0.0,-0.1,10.12
17404,0.17,0.04,10.16
17406,-0.24,-0.1,10.07
17408,0.14,-0.06,10.04
17410,-0.44,0.4,10.05
17412,-0.29,0.07,10.21
17414,0.42,0.05,10.06
17416,-0.02,0.08,10.06
17418,-0.02,0.06,10.02
17420,-0.25,-0.0,9.86
17422,-0.27,0.05,9.92
17424,-0.1,0.21,9.99
17426,-0.41,0.11,9.83
17428,0.14,-0.06,10.12
17430,-0.03,0.18,10.01
17432,-0.23,-0.1,9.99
17434,0.13,-0.01,9.98
17436,-0.53,0.37,9.9
17438,-0.02,0.13,10.04
17440,0.14,0.09,9.96
17442,0.09,-0.1,10.13
17444,0.16,0.07,10.08
17446,-0.27,-0.0,9.79
17448,0.0,-0.05,10.06
17450,-0.28,0.32,10.11
17452,-0.35,0.03,10.22
17454,0.46,-0.09,10.19
17456,0.02,0.08,10.07
17458,-0.1,-0.04,10.12
17460,-0.08,0.09,9.95
17462,-0.4,0.19,9.92
17464,0.04,0.2,10.11
17466,-0.23,0.07,9.98
17468,0.04,-0.13,10.08
17470,0.07,0.08,9.85
17472,-0.3,-0.07,9.8
17474,0.06,-0.11,9.93
17476,-0.55,0.34,9.93
17478,-0.3,0.11,10.03
17480,0.28,0.07,9.91
17482,-0.1,0.13,10.0
17484,-0.04,0.0,10.12
17486,-0.2,0.06,9.84
17506,0.09,0.08,9.92
17508,-0.12,-0.01,10.16
17510,0.16,0.07,10.09
17512,-0.37,-0.09,9.85
17514,-0.05,0.03,9.92
17516,-0.25,0.38,9.9
17518,-0.46,0.1,10.15
17520,0.41,-0.05,9.98
17522,-0.06,0.11,9.95
17524,-0.17,-0.02,10.04
17526,-0.04,0.01,9.79
17532,-0.24,0.06,10.07
17534,0.08,-0.11,10.07
17536,0.23,0.11,10.0
17538,-0.27,-0.11,10.08
17540,0.21,-0.0,10.05
17542,-0.41,0.31,9.99
17544,-0.16,0.19,10.18
17546,0.36,0.0,10.06
17548,-0.18,0.01,10.23
17550,0.12,-0.09,10.23
17552,-0.28,-0.05,9.9
17554,-0.27,0.03,10.0
17556,-0.08,0.27,9.98
17558,-0.5,0.06,10.03
17560,0.33,-0.05,10.05
17562,0.05,0.15,9.96
17564,-0.28,-0.05,10.06
17566,0.05,0.07,9.9
17568,-0.52,0.26,9.73
17570,-0.12,0.21,10.01
17572,-0.08,0.09,9.81
17574,-0.06,-0.1,10.13
17576,0.24,0.03,10.02
17578,-0.42,-0.09,9.93
17580,0.02,-0.04,10.07
17582,-0.2,0.31,9.83
17584,-0.33,0.03,10.16
17586,0.49,-0.01,10.09
17588,-0.07,0.11,10.07
17590,0.02,0.04,10.13
17592,-0.01,-0.03,9.83
17594,-0.39,0.12,10.0
17596,-0.04,0.2,9.88
17598,-0.33,0.02,10.07
17600,0.22,-0.1,10.14
17602,0.15,0.08,9.93
17604,-0.36,-0.05,9.99
17606,0.04,0.01,9.84
17608,-0.53,0.29,9.76
17610,-0.13,0.2,10.01
17612,0.15,0.1,9.88
17614,-0.17,0.01,10.06
17616,0.15,0.01,9.99
17618,-0.33,-0.07,9.8
17620,-0.08,0.02,10.03
17622,-0.09,0.33,9.88
17624,-0.42,-0.03,10.13
17626,0.43,0.0,10.17
17646,0.12,0.02,9.97
